Item,Purpose,Quantity,Link,Total cost (usd),Distributor,
PCB,To solder,5,N/A,14.9,JLCPCB,
LED (red),For the blinking,5,Link,0.08,Sharvi Electronics,
LED (blue),For the blinking,5,Link,0.08,Sharvi Electronics,
1K Resistor,For the capacitor and potentiometer,10,Link,0.95,Sharvi Electronics,
470 Resistor,For the LEDs,5,Link,0.05,Sharvi Electronics,
Electrolytic capacitor,Works with the timer,3,Link,0.08,eBhoot electronics,
2 pin male header 2.54mm (11x1),For power,5,Link,0.25,Sharvi Electronics,
NE555 timer,Sends signals to the counter,2,Link,0.13,eBhoot electronics,
Cement capacitor,Works with the timer,5,Link,0.06,eBhoot electronics,
10k Potentiometer,To control the speed,2,Link,0.25,Robotics DNA,
CD4017 Decade Counter,To give the blinking pattern,1,Link,0.11,Electronics comp,
,,,,,,
